Canción,Artista,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Três Dias,Marcelo Camelo,0.291,0.319,7,-10.465,1,0.0306,0.791,0.468,0.0692,0.038,103.793,audio_features,0A0eOcimSNRs2EQQlH7FFJ,spotify:track:0A0eOcimSNRs2EQQlH7FFJ,https://api.spotify.com/v1/tracks/0A0eOcimSNRs2EQQlH7FFJ,https://api.spotify.com/v1/audio-analysis/0A0eOcimSNRs2EQQlH7FFJ,323280,3
Elephant Gun,Beirut,0.171,0.626,8,-8.677,1,0.0486,0.873,0.0252,0.0681,0.457,180.098,audio_features,0MtVmhAx6CxNuxFIUc6Mj9,spotify:track:0MtVmhAx6CxNuxFIUc6Mj9,https://api.spotify.com/v1/tracks/0MtVmhAx6CxNuxFIUc6Mj9,https://api.spotify.com/v1/audio-analysis/0MtVmhAx6CxNuxFIUc6Mj9,348893,3
Fake Empire,The National,0.324,0.776,0,-6.784,1,0.0346,0.151,0.917,0.0728,0.317,101.964,audio_features,6aUAF8JOd8zEl41B6I18xL,spotify:track:6aUAF8JOd8zEl41B6I18xL,https://api.spotify.com/v1/tracks/6aUAF8JOd8zEl41B6I18xL,https://api.spotify.com/v1/audio-analysis/6aUAF8JOd8zEl41B6I18xL,205040,3
Sorriso ao Sono,Phill Veras,0.627,0.342,2,-12.833,1,0.0394,0.7,0.166,0.082,0.513,80.03,audio_features,2vGvPQNnyybJmiqpr1HiKX,spotify:track:2vGvPQNnyybJmiqpr1HiKX,https://api.spotify.com/v1/tracks/2vGvPQNnyybJmiqpr1HiKX,https://api.spotify.com/v1/audio-analysis/2vGvPQNnyybJmiqpr1HiKX,248480,4
I Will Wait,Mumford & Sons,0.486,0.769,1,-5.14,1,0.0341,0.0119,0.00832,0.197,0.393,131.286,audio_features,1PuLHwFZoh5qYK89I5YBdZ,spotify:track:1PuLHwFZoh5qYK89I5YBdZ,https://api.spotify.com/v1/tracks/1PuLHwFZoh5qYK89I5YBdZ,https://api.spotify.com/v1/audio-analysis/1PuLHwFZoh5qYK89I5YBdZ,276720,4
Out Of Reach,The Get Up Kids,0.404,0.425,11,-8.46,1,0.0321,0.46,0.00347,0.0864,0.396,210.186,audio_features,0XqvweqwDQluyCKyK25XqC,spotify:track:0XqvweqwDQluyCKyK25XqC,https://api.spotify.com/v1/tracks/0XqvweqwDQluyCKyK25XqC,https://api.spotify.com/v1/audio-analysis/0XqvweqwDQluyCKyK25XqC,226573,3
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",0.76,0.479,2,-5.574,1,0.0466,0.556,0.0,0.0703,0.913,89.911,audio_features,3KkXRkHbMCARz0aVfEt68P,spotify:track:3KkXRkHbMCARz0aVfEt68P,https://api.spotify.com/v1/tracks/3KkXRkHbMCARz0aVfEt68P,https://api.spotify.com/v1/audio-analysis/3KkXRkHbMCARz0aVfEt68P,158040,4
Want Someone to Remember Me,Phillip Long,0.685,0.192,10,-14.236,1,0.0308,0.751,0.0,0.103,0.579,105.149,audio_features,5m9bm8tBxyhvKv41tMAdnv,spotify:track:5m9bm8tBxyhvKv41tMAdnv,https://api.spotify.com/v1/tracks/5m9bm8tBxyhvKv41tMAdnv,https://api.spotify.com/v1/audio-analysis/5m9bm8tBxyhvKv41tMAdnv,206960,4
Over my head,Judah & the Lion,0.454,0.924,10,-4.38,1,0.0604,0.0694,0.0,0.125,0.505,150.967,audio_features,6r5tlCMur8Vngv3n0DzOFl,spotify:track:6r5tlCMur8Vngv3n0DzOFl,https://api.spotify.com/v1/tracks/6r5tlCMur8Vngv3n0DzOFl,https://api.spotify.com/v1/audio-analysis/6r5tlCMur8Vngv3n0DzOFl,195863,3
Eyes,Rogue Wave,0.642,0.462,1,-8.026,1,0.0294,0.821,2.51e-06,0.106,0.484,130.015,audio_features,3HQdwlovzULm18PjvlA5wz,spotify:track:3HQdwlovzULm18PjvlA5wz,https://api.spotify.com/v1/tracks/3HQdwlovzULm18PjvlA5wz,https://api.spotify.com/v1/audio-analysis/3HQdwlovzULm18PjvlA5wz,148867,4
